job_title,location,date,comany_name,job_link
Data Strategy Consultant,UAE,2023-09-22,Core Consultants,https://www.gulftalent.com/uae/jobs/data-strategy-consultant-388588
Data Analyst / Specialist,Dubai,2023-08-09,Ultimate HR Solutions,https://www.gulftalent.com/uae/jobs/data-analyst-specialist-382848
Data Manager - Consulting Technology,Riyadh,2023-10-29,PricewaterhouseCoopers,https://www.gulftalent.com/saudi-arabia/jobs/data-manager-consulting-technology-346256
Data Entry Officer - 6 Months (Extendable),Dubai,2023-07-18,ManpowerGroup Middle East,https://www.gulftalent.com/uae/jobs/data-entry-officer-6-months-extendable-380395
Data Analytics Lead,UAE,2023-07-26,Michael Page,https://www.gulftalent.com/uae/jobs/data-analytics-lead-381356
Data Governance Manager,UAE,2023-08-03,Michael Page,https://www.gulftalent.com/uae/jobs/data-governance-manager-382246
Data Engineering Manager,UAE,2023-08-03,Michael Page,https://www.gulftalent.com/uae/jobs/data-engineering-manager-382247
Data Architect,UAE,2023-09-01,Michael Page,https://www.gulftalent.com/uae/jobs/data-architect-385954
Data Engineer,Saudi Arabia,2023-09-18,ManpowerGroup Middle East,https://www.gulftalent.com/saudi-arabia/jobs/data-engineer-388119
Data Center Manager,Saudi Arabia,2023-06-19,Innovative Contractors for Advanced Dimensions (ICAD),https://www.gulftalent.com/saudi-arabia/jobs/data-center-manager-377312
Data Governance Director (Metadata),UAE,2023-08-01,Michael Page,https://www.gulftalent.com/uae/jobs/data-governance-director-metadata-381841
Data Scientist Manager,Saudi Arabia,2023-08-09,Michael Page,https://www.gulftalent.com/saudi-arabia/jobs/data-scientist-manager-382845
Data Analyst,Dubai,2023-08-21,RTC-1 Employment Services,https://www.gulftalent.com/uae/jobs/data-analyst-384081
Data Analyst,Abu Dhabi,2023-07-31,Flow Talent,https://www.gulftalent.com/uae/jobs/data-analyst-384706
Data Entry/Admin,UAE,2023-09-19,ManpowerGroup Middle East,https://www.gulftalent.com/uae/jobs/data-entry-admin-389772
Data Engineer - Data Integration,Cairo,2023-11-09,IBM Middle East,https://www.gulftalent.com/egypt/jobs/data-engineer-data-integration-390455
Data Analyst,Qatar,2023-10-26,Quest Search & Selection ,https://www.gulftalent.com/qatar/jobs/data-analyst-392756
Data Scientist - Senior Specialist,UAE,2023-10-31,Michael Page,https://www.gulftalent.com/uae/jobs/data-scientist-senior-specialist-393211
Data and Information Management Team Lead,Dubai,2023-11-03,Charterhouse,https://www.gulftalent.com/uae/jobs/data-and-information-management-team-lead-393595
Data Scientist,UAE,2023-07-04,Michael Page,https://www.gulftalent.com/uae/jobs/data-scientist-378508
Data Analytics Manager,Muscat,2023-11-07,Ooredoo,https://www.gulftalent.com/oman/jobs/data-analytics-manager-393920
Data Analytics Internal Audit Manager,Dubai,2023-09-08,Flow Talent,https://www.gulftalent.com/uae/jobs/data-analytics-internal-audit-manager-387093
Data Consultant,UAE,2023-07-04,Michael Page,https://www.gulftalent.com/uae/jobs/data-consultant-378510
Data Analyst / Audit Analyst,Khobar,2023-09-01,Deloitte & Touche (M.E.),https://www.gulftalent.com/saudi-arabia/jobs/data-analyst-audit-analyst-381282
Head of Data Privacy Advisory and Governance,Saudi Arabia,2023-09-27,Michael Page,https://www.gulftalent.com/saudi-arabia/jobs/head-of-data-privacy-advisory-and-governance-389041
